    LR05     LR05     LR05     HW04    HW04      HW04     Shack.  Shack.    Shack.   
    age      adjusted d18O     age     adjusted  d18O     age     adjusted  d18O
             age                       age                        age

   308.0    290.5    3.850    318.6    312.6   -1.583    954.0    951.1    3.580 
   309.0    291.2    3.860    319.6    313.6   -1.555    957.0    953.9    3.710 
   310.0    291.9    3.800    320.6    314.5   -1.632    960.0    956.8    4.220 
   311.0    292.7    3.700    321.6    315.5   -1.769    963.0    959.9    4.520 
   312.0    293.4    3.790    322.6    316.4   -1.872    966.0    963.8    4.440 
   313.0    294.1    3.690    323.6    317.4   -1.897    969.0    967.8    4.240 
   314.0    294.8    3.770    324.6    318.3   -1.900    972.0    971.7    4.200 
   315.0    295.5    3.620    325.6    319.3   -1.901    975.0    975.6    4.090 
   316.0    296.3    3.690    326.6    320.2   -1.712    978.0    979.6    4.120 
   317.0    297.0    3.890    327.6    321.2   -1.292    981.0    983.5    4.170 
   318.0    297.7    3.760    328.6    322.1   -0.894    984.0    987.5    4.060 
   319.0    298.6    3.580    329.6    323.1   -0.818    987.0    990.7    4.180 
   320.0    300.0    3.660    330.6    324.0   -0.595    990.0    992.6    4.140 
   321.0    301.5    3.530    331.6    325.0   -0.218    993.0    994.2    4.050 
   322.0    303.1    3.530    332.6    326.0    0.608    996.0    995.7    3.880 
   323.0    304.6    3.470    333.6    327.1    0.985    999.0    997.2    4.240 
   324.0    306.1    3.210    334.6    328.1    1.314   1002.0    998.7    4.250 
   325.0    307.7    3.310    335.6    329.1    1.481   1005.0   1000.3    4.130 
