ml_cape,ml_cin,ml_lcl,ml_lfc,mu_cape,mu_cin,mu_lcl,mu_lfc,sb_cape,sb_cin,best_cape,best_cin,cape0_3km,dn_cape,shr6,shr3,shr1,srh3,srh1,STP T03,STP T03 >0,lr0_3km,tmp_sfc,dwp_sfc,rh_sfc,pw,,magnitude
1670.31,-7.31,1027.62,,3278.19,0.01,985.53,1547.23,3278.19,0.01,1601.5,-10.92,42.9,829.99,35.8842,10.1724,14.5224,-10.51,-40.98,-0.398067821,0,7.11,22.82,17.67,76.94,0.89,,0
0,,1057,,0,-9999,947.22,-9999,0,-9999,0,-999,-9999,137.97,49.9672,32.691,14.1284,174.07,95.95,0,0,6.81,5.96,3.56,89.97,0.38,,0
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,1
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,1
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,1
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,2
436.78,-13.07,781.88,,877.88,-10.03,780.49,1514.9,301.75,-20.05,398.88,-13.31,34.99,601.65,49.9825,34.4245,19.7982,171.38,115.74,0.512983056,0.512983056,6.14,21.96,15.78,82.37,1.34,,0
345.03,-5.32,771.75,,812.94,0,772.75,1138.75,812.94,0.01,470.69,-2.63,56.89,503.21,42.4224,33.8105,16.27,158.4,86.21,0.258312403,0.258312403,6.71,20,13.93,71.83,1.14,,0
272.94,-78.69,625.38,,901.5,-0.21,1248.12,1347.62,834.88,-7.69,901.47,-0.2,0,649,40.2297,39.8256,20.535,245.41,165.06,0.415228572,0.415228572,6.07,19.05,14.44,81.49,1.04,,1
782.03,-13.19,758.12,,1806,0,1246.12,1390.38,1806,0,900.06,-0.57,39.23,745.75,42.1769,41.1837,17.1564,195.86,111.64,0.762160224,0.762160224,6.49,20.3,15.76,77.5,1.05,,0
854.03,-97.5,846.25,,2177.44,0,843.5,3064,2177.44,0,850.19,-98.13,2.5,883.43,47.5858,29.7417,15.9121,141.85,86.53,0.676203897,0.676203897,6.61,25.51,19.14,68.48,1.34,,1
782.03,-13.19,758.12,,1806,0,1246.12,1390.38,1806,0,900.06,-0.57,39.23,745.75,42.1769,41.1837,17.1564,195.86,111.64,0.762160224,0.762160224,6.49,20.3,15.76,77.5,1.05,,0
1171.34,-42.37,1066.75,,1726.19,-10.14,1038.88,2463.36,1726.19,-10.12,1146.22,-34.82,17.41,852.67,51.8695,45.14,23.0751,203.3,152.73,1.443331652,1.443331652,6.78,22.32,16.04,67.97,1.02,,1
936.5,-77.37,921.38,,1792.5,0,867.12,3070.24,1792.5,0.01,939.66,-78.26,1.93,840.11,48.6051,26.7833,15.4007,170.66,100.78,0.824671897,0.824671897,6.3,24.9,18.52,63.46,1.34,,1
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0
1037.75,-45.54,1137.75,,1600.62,-5.72,1058.41,2176.77,1600.62,-5.69,1125.94,-39,39.69,1050.08,69.1738,34.9495,14.7708,296.02,143.62,1.481600961,1.481600961,7.23,23.69,16.45,68.11,0.96,,1
613.31,-137.91,927,,749.69,-67.77,894.56,2778.38,592.25,-125,678.62,-73.62,1.37,1056.89,64.2044,37.2357,28.964,512.25,293.9,2.069630878,2.069630878,5.87,20.36,16.29,77.8,1.06,,0
536.94,-141.3,928.88,,690.88,-61.44,886.31,2919.38,495.19,-131.93,623.69,-69.17,0.57,1070.83,64.1042,37.8224,26.7924,514.79,266.22,1.635836147,1.635836147,5.78,20.31,16.28,78.24,1.03,,0
1038.12,-46.83,494.25,,1390.12,-3.05,1510.31,1973.99,893.56,-55.61,1390.12,-3.04,35.02,800.88,50.8107,41.7067,30.0296,367.11,234.69,3.106697318,3.106697318,4.97,21.45,19.77,91.16,1.65,,0
1142.19,-55.11,530.88,,1229.25,-3.65,1477.44,1934.12,1071.62,-42.04,1229.25,-3.67,48.7,666.45,44.2879,30.8965,28.5031,275.78,223.83,2.772348079,2.772348079,4.89,20.61,20.1,93.37,1.64,,0
1090.44,-39.39,594.25,,1384.56,-7.14,868.19,1822.37,1384.56,-7.17,1275.5,-6.2,47.21,626.7,42.8111,27.7196,24.7041,207.94,181.75,1.987876604,1.987876604,5.49,21.99,19.63,86.49,1.58,,0
2044.94,-32.98,544.5,,2140.38,-2.8,1164.36,1583.93,2116.5,-11.69,2140.38,-2.8,51.75,698.23,48.5531,31.5021,33.2476,306.15,253.81,6.113180545,6.113180545,4.87,21.7,20.97,94.18,1.51,,3
2250.12,-14.01,657.38,,3146.31,0,1294.24,1704.8,3146.31,0,2211.25,-6.92,64.63,853.41,47.921,31.8116,31.9172,333.62,251.47,6.067637066,6.067637066,5.86,24.81,21.02,80.39,1.4,,2
1223.62,-14.79,668.62,,1422.88,-2.38,775.86,1379.55,1422.88,-2.37,1229.69,-5.77,87.32,642.98,41.0424,28.1133,20.5865,228.25,150.53,1.677463795,1.677463795,5.59,22.72,19.57,80.92,1.62,,0
1159.62,-10.29,679.62,,1205,-2.79,706.16,1368.3,1096.88,-10.92,1205,-2.77,64.02,725.36,44.5659,27.0554,25.9249,300.85,193.36,2.199037842,2.199037842,5.6,22.92,18.76,77.31,1.63,,0
1061.44,-93.71,906.5,,1547.38,-14.1,751.45,1469.42,1081.12,-67.31,1447.12,-12.26,41.97,669.9,48.7,24.811,27.2974,334.21,211.19,1.989597828,1.989597828,5.49,21.86,18.71,80.61,1.48,,0
